"year","election_type","state","votes","eligible_voters"
1994,"Midterm","Mississippi",621096,1903794
1994,"Midterm","Missouri",NA,3858946
1994,"Midterm","Montana",359455,622246
1994,"Midterm","Nebraska",593654,1164502
1994,"Midterm","Nevada",386582,1032456
1994,"Midterm","New Hampshire",319443,829590
1994,"Midterm","New Jersey",2131328,5392423
1994,"Midterm","New Mexico",485709,1128243
1994,"Midterm","New York",5325323,12192316
1994,"Midterm","North Carolina",NA,5244552
1994,"Midterm","North Dakota",240430,468989
1994,"Midterm","Ohio",3540954,8132122
1994,"Midterm","Oklahoma",1002363,2327519
1994,"Midterm","Oregon",1254265,2229242
1994,"Midterm","Pennsylvania",NA,9043585
1994,"Midterm","Rhode Island",NA,716002
1994,"Midterm","South Carolina",951901,2663830
1994,"Midterm","South Dakota",318090,518815
1994,"Midterm","Tennessee",NA,3850228
1994,"Midterm","Texas",NA,11719888
1994,"Midterm","Utah",532737,1248726
1994,"Midterm","Vermont",216715,426953
1994,"Midterm","Virginia",NA,4718968
1994,"Midterm","Washington",1733471,3715174
1994,"Midterm","West Virginia",439551,1379339
1994,"Midterm","Wisconsin",NA,3692668
1994,"Midterm","Wyoming",204025,337032
1992,"Presidential","Alabama",NA,3030549
1992,"Presidential","Alaska",261427,389898
1992,"Presidential","Arizona",1516276,2671933
1992,"Presidential","Arkansas",NA,1751083
1992,"Presidential","California",11374565,18460157
1992,"Presidential","Colorado",1597166,2494998
1992,"Presidential","Connecticut",1645609,2356937
1992,"Presidential","Delaware",290836,499266
1992,"Presidential","District of Columbia",231445,427102
1992,"Presidential","Florida",5438612,9506230
1992,"Presidential","Georgia",NA,4766958
1992,"Presidential","Hawaii",382882,795148
1992,"Presidential","Idaho",491725,734855
1992,"Presidential","Illinois",5164357,8113900
1992,"Presidential","Indiana",2347912,4162678
1992,"Presidential","Iowa",1360856,2057690
1992,"Presidential","Kansas",1161044,1810750
1992,"Presidential","Kentucky",NA,2772600
1992,"Presidential","Louisiana",1799596,2997301
1992,"Presidential","Maine",NA,915082
1992,"Presidential","Maryland",1999486,3440015
1992,"Presidential","Massachusetts",2822962,4346897
1992,"Presidential","Michigan",4341909,6786593
1992,"Presidential","Minnesota",2355796,3187255
1992,"Presidential","Mississippi",1008019,1854797
1992,"Presidential","Missouri",NA,3792675
1992,"Presidential","Montana",417564,593345
1992,"Presidential","Nebraska",744548,1149525
1992,"Presidential","Nevada",513387,940066
1992,"Presidential","New Hampshire",545197,814160
1992,"Presidential","New Jersey",3348312,5398559
1992,"Presidential","New Mexico",590901,1073421
1992,"Presidential","New York",7068630,12227775
1992,"Presidential","North Carolina",NA,5077494
1992,"Presidential","North Dakota",315199,462631
1992,"Presidential","Ohio",5043094,8063595
1992,"Presidential","Oklahoma",1455635,2293931
1992,"Presidential","Oregon",1498959,2144867
1992,"Presidential","Pennsylvania",NA,9010940
1992,"Presidential","Rhode Island",NA,721593
1992,"Presidential","South Carolina",1234712,2610725
1992,"Presidential","South Dakota",NA,503759
1992,"Presidential","Tennessee",NA,3726024
1992,"Presidential","Texas",NA,11356487
1992,"Presidential","Utah",784988,1162363
1992,"Presidential","Vermont",292797,419810
1992,"Presidential","Virginia",NA,4622125
1992,"Presidential","Washington",2324907,3575852
1992,"Presidential","West Virginia",NA,1365368
1992,"Presidential","Wisconsin",NA,3619273
1992,"Presidential","Wyoming",203602,324253
1990,"Midterm","Alabama",NA,2956385
1990,"Midterm","Alaska",197540,364419
1990,"Midterm","Arizona",1094735,2523614
1990,"Midterm","Arkansas",NA,1710799
1990,"Midterm","California",7899131,18156500
1990,"Midterm","Colorado",1046139,2366650
1990,"Midterm","Connecticut",1159361,2383795
1990,"Midterm","Delaware",183977,486760
1990,"Midterm","District of Columbia",171677,441742
1990,"Midterm","Florida",NA,9145312
1990,"Midterm","Georgia",NA,4588953
1990,"Midterm","Hawaii",354144,770836
1990,"Midterm","Idaho",328340,690154
1990,"Midterm","Illinois",3420720,8029525
